2024-06-04 08:48:30

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
12.6	-0.001	0.0	-0.0	-0.001	0.001	0.001	0.001	-0.002	0	0	0	0	0	0	0	0	2000.0
12.7	0.002	-0.001	-0.001	-0.002	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
12.8	-0.001	-0.001	0.002	0.001	-0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
12.9	0.002	-0.001	-0.001	-0.002	-0.003	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
13.0	0.0	0.0	-0.0	-0.001	-0.0	0.0	-0.0	0.002	0	0	0	0	0	0	0	0	2000.0
13.1	-0.001	-0.001	0.002	-0.002	0.001	-0.001	0.001	-0.003	0	0	0	0	0	0	0	0	2000.0
13.2	-0.001	-0.001	0.002	-0.002	-0.003	0.002	-0.0	0.002	0	0	0	0	0	0	0	0	2000.0
13.3	-0.001	0.002	-0.001	0.001	0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
13.4	-0.001	-0.001	0.001	-0.002	-0.001	-0.003	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
13.5	0.002	-0.001	0.002	-0.002	-0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
13.6	0.0	0.0	-0.0	0.001	-0.001	0.001	-0.003	-0.001	0	0	0	0	0	0	0	0	2000.0
13.7	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
13.8	0.001	-0.001	-0.001	-0.002	0.002	-0.003	-0.0	0.002	0	0	0	0	0	0	0	0	2000.0
13.9	0.0	-0.001	-0.0	-0.001	0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
14.0	0.002	-0.001	-0.001	-0.002	-0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
14.1	-0.001	-0.001	-0.001	-0.002	0.001	-0.003	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
14.2	0.0	0.0	0.002	-0.001	-0.002	-0.002	-0.002	-0.002	0	0	0	0	0	0	0	0	2000.0
14.3	-0.001	-0.001	-0.001	-0.002	-0.0	0.0	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
14.4	0.0	-0.001	-0.0	-0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
14.5	0.0	0.002	0.002	-0.001	0.002	0.0	0.002	0.002	0	0	0	0	0	0	0	0	2000.0
14.6	0.0	0.0	0.002	0.001	0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
14.7	0.0	0.0	0.002	-0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
14.8	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
14.9	-0.001	-0.001	0.002	-0.002	0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
15.0	0.002	0.002	-0.0	-0.001	-0.0	0.0	0.002	0.002	0	0	0	0	0	0	0	0	2000.0
15.1	0.0	0.0	0.002	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
15.2	0.002	0.0	-0.0	-0.001	-0.001	0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
15.3	-0.001	-0.001	0.002	-0.002	0.002	0.0	-0.0	0.002	0	0	0	0	0	0	0	0	2000.0
15.4	-0.001	0.002	-0.001	-0.002	-0.002	0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
15.5	-0.001	0.001	-0.001	-0.002	-0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
15.6	0.0	0.0	0.002	-0.001	0.001	-0.002	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
15.7	-0.001	-0.001	0.002	0.001	0.001	0.001	-0.001	0.001	0	0	0	0	0	1	0	0	2000.0
15.8	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
15.9	-0.001	-0.001	-0.001	-0.002	0.003	0.0	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
16.0	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
16.1	0.0	0.0	0.002	0.001	-0.001	-0.001	-0.001	0.001	0	0	0	0	1	1	0	0	2000.0
16.2	-0.001	0.002	-0.001	-0.002	-0.002	0.001	0.001	-0.002	0	0	0	0	0	1	0	0	2000.0
16.3	0.002	-0.001	0.002	-0.002	0.001	-0.002	-0.004	0.001	0	0	0	0	0	0	0	0	2000.0
16.4	-0.001	-0.001	-0.001	-0.002	-0.0	0.0	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
16.5	-0.001	-0.001	0.002	-0.002	-0.001	-0.001	0.004	-0.001	0	0	0	0	0	0	0	0	2000.0
16.6	-0.001	0.0	0.002	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	1	0	0	0	2000.0
16.7	0.0	0.002	-0.0	-0.001	0.001	0.001	0.001	-0.001	0	0	0	0	1	1	0	0	2000.0
16.8	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	-0.001	0	0	0	0	1	1	0	0	2000.0
16.9	0.002	0.0	0.002	-0.002	-0.001	-0.001	0.001	-0.001	0	0	0	0	1	1	0	0	2000.0
17.0	-0.001	-0.001	-0.001	-0.002	0.001	-0.003	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
17.1	-0.001	-0.001	0.002	-0.002	0.001	-0.002	-0.002	-0.004	0	0	0	0	1	2	0	0	2000.0
17.2	0.0	0.0	-0.0	-0.001	0.002	0.002	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
17.3	-0.001	-0.001	-0.001	0.001	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
17.4	0.0	-0.001	0.002	-0.001	-0.0	0.0	-0.0	0.0	0	0	0	0	0	1	0	0	2000.0
17.5	0.001	-0.001	-0.001	0.0	-0.001	-0.001	-0.003	-0.001	0	0	0	0	1	1	0	0	2000.0
17.6	0.0	0.0	0.002	-0.001	-0.0	0.0	-0.0	0.0	0	0	0	0	0	1	0	0	2000.0
17.7	-0.001	-0.001	-0.001	-0.002	0.001	0.001	0.001	0.001	0	0	0	0	1	2	0	0	2000.0
17.8	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	0.001	0	0	0	0	1	2	0	0	2000.0
17.9	0.002	-0.001	0.002	0.001	-0.001	0.001	-0.003	-0.001	0	0	0	0	0	4	0	0	2000.0
18.0	0.0	0.0	-0.0	-0.001	0.002	0.002	0.002	0.0	0	0	0	0	0	4	0	0	2000.0
18.1	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	1	3	0	0	2000.0
18.2	-0.001	0.002	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	2	0	0	2000.0
18.3	0.0	-0.001	-0.001	-0.002	0.001	0.001	-0.001	-0.001	0	0	0	0	2	2	0	0	2000.0
18.4	-0.001	-0.001	0.002	0.001	0.001	-0.001	0.001	-0.001	0	0	0	0	2	3	0	0	2000.0
18.5	-0.001	-0.001	-0.001	-0.002	-0.002	-0.002	-0.002	-0.002	0	0	0	0	2	4	0	0	2000.0
18.6	0.0	0.0	-0.0	0.001	-0.0	0.0	0.002	-0.003	0	0	0	0	1	9	0	0	2000.0
18.7	-0.001	-0.001	-0.001	0.001	-0.001	0.001	-0.001	-0.001	0	0	0	0	1	3	0	0	2000.0
18.8	-0.001	-0.001	0.002	-0.002	-0.002	-0.002	0.001	-0.002	0	0	0	0	3	6	0	0	2000.0
18.9	0.002	0.0	-0.0	-0.001	0.001	-0.001	0.001	-0.001	0	0	0	0	2	7	0	0	2000.0
19.0	-0.001	-0.001	-0.001	-0.002	-0.003	0.001	0.001	-0.001	0	0	0	0	6	7	0	0	2000.0
19.1	0.0	0.0	-0.0	-0.001	-0.003	0.001	-0.001	-0.003	0	0	0	0	2	16	0	0	2000.0
19.2	-0.001	-0.001	0.002	-0.002	0.001	0.001	0.001	-0.001	0	0	0	0	4	12	0	0	2000.0
19.3	0.002	-0.001	0.002	-0.002	-0.0	0.0	-0.0	0.0	0	0	0	0	5	25	0	0	2000.0
19.4	0.002	0.0	-0.0	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	3	49	0	0	2000.0
19.5	0.002	-0.001	-0.001	-0.002	0.002	0.0	-0.0	-0.003	0	0	0	0	7	91	0	0	2000.0
19.6	0.0	0.0	-0.0	-0.001	0.001	0.001	0.001	-0.002	0	0	0	0	10	163	0	0	2000.0
19.7	-0.001	-0.001	0.002	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	11	369	0	0	2000.0
19.8	0.0	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	-0.001	0	0	0	0	8	622	0	0	2000.0
19.9	0.0	0.002	-0.0	-0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	11	1103	0	0	2000.0
20.0	-0.001	0.002	-0.001	-0.002	-0.002	0.001	0.001	-0.004	0	0	0	0	14	1911	0	0	2000.0
20.1	0.0	0.0	0.002	-0.001	-0.0	-0.003	-0.0	0.002	0	0	0	0	15	3950	0	0	2000.0
20.2	0.0	0.0	-0.0	-0.001	-0.003	-0.001	0.001	-0.001	0	0	0	0	28	6905	0	0	2000.0
20.3	-0.001	-0.001	0.002	0.001	0.002	0.002	-0.0	0.0	0	0	0	0	53	12860	0	0	2000.0
20.4	0.0	0.002	-0.0	0.001	-0.0	0.002	0.002	0.0	0	0	0	0	110	23545	0	0	2000.0
20.5	0.002	-0.001	-0.001	-0.002	-0.001	-0.001	0.001	0.001	0	0	0	0	201	42549	0	0	2000.0
20.6	-0.001	0.002	-0.001	-0.002	0.001	-0.001	-0.001	0.001	0	0	0	0	502	82574	0	0	2000.0
20.7	0.0	0.0	-0.0	-0.001	0.001	2.744	0.001	-0.001	0	0	0	0	1075	41780	0	0	2000.0
20.8	-0.001	-0.001	-0.001	-0.002	-0.004	2.758	-0.002	-0.002	0	0	0	0	2234	0	0	0	2000.0
20.9	-0.001	0.0	-0.0	0.001	-0.002	2.773	-0.002	-0.002	0	0	0	0	5236	0	0	0	2000.0
21.0	0.0	0.0	-0.0	0.001	0.001	2.783	-0.001	-0.001	0	0	0	0	11235	0	0	0	2000.0
21.1	0.002	0.0	-0.0	-0.001	-0.001	2.802	-0.003	-0.001	0	0	0	0	22044	0	0	0	2000.0
21.2	-0.001	0.002	-0.001	-0.002	-0.002	2.814	0.001	-0.002	0	0	0	0	46873	0	0	0	2000.0
21.3	0.002	0.0	0.002	0.001	2.821	2.829	-0.002	-0.002	0	0	0	0	68930	0	0	0	2000.0
21.4	-0.001	-0.001	0.002	0.001	2.844	2.842	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
